072 15251
 4429 7374 15736
 5265 7492 14597
 2973 8396 13196
 6007 8289 12320
 4800 9006 13361
 3645 7618 9551
 5049 9713 10214
Repetition End
1
 5388 8050 7755
 6467 9155 9334
 3863 9218 7333
 2637 8554 8899
Repetition Start
 3535 8870 8429
 3328 7193 7369
 3855 7377 10141
 6594 8528 10465
 5135 9819 12794
 3197 8121 15255
 1404 8017 16906
 2560 4551 20591
 5027 2022 21161
 3934 5967 22590
 3718 6916 20864
 2298 5400 19517
 3228 6366 18386
 2510 6127 16978
 4030 6147 16066
 4227 5770 14410
 1229 8693 14533
 3653 7987 13831
 2353 8479 11735
 5684 7805 10723
 1149 8070 8955
 9918 7428 2742
Repetition End
1
 2011 4234 10020
 5603 10317 7571
 3490 8105 7045
 5376 9121 10392
Repetition Start
 3584 6046 11282
 3757 6782 15359
 2807 5989 18613
 2932 4684 18149
 4629 5066 17984
 4595 4503 22181
 -2013 6026 20503
 2438 6124 22377
 2456 4370 21118
 3560 4696 20161
 2961 5932 16480
 3733 4895 15878
 2487 4820 16053
 5181 6988 15262
 3413 6933 13752
 4570 7290 12995
 4208 6555 10382
 6803 5400 7573
 3932 7321 6604
Repetition End
1
 3305 5187 10389
 4739 7578 8686
 4308 6991 7492
 2504 7624 8655
Repetition Start
 2647 6629 12800
 1494 8974 11110
 4168 10028 13904
 4077 5453 16531
 -1499 8080 14933
 470 6145 17008
 3113 7486 15077
 2214 6423 20906
 1352 5277 20646
 3543 7243 18823
 3461 7010 17991
 3046 8172 15971
 3215 6984 15731
 2914 6701 14360
 3242 7013 13998
 1830 8135 13062
 4259 7557 9927
 4055 7289 8515
 3880 7407 5715
Repetition End
1
 5365 4634 8000
 3412 9661 8760
 5042 8463 6602
Repetition Start
 2150 8224 9877
 5119 8565 10049
 2879 7927 12816
 5160 7698 15881
 146 7423 17712
 7194 7631 20384
 404 8629 18319
 6864 10601 18671
 1313 7500 19170
 5130 7744 18792
 3044 10091 16495
 4814 5760 16918
 4542 6594 16442
 4247 7448 14423
 2592 9161 11779
 3167 7782 11798
 3694 6039 9321
Repetition End
0
 7246 7687 6872
 -45 7402 6519
 4332 8385 8815
 3155 8213 5597
Repetition Start
 2527 7425 10877
 6062 8603 10930
 1172 9655 11829
 1895 8301 13123
 5465 8152 15394
 2152 5144 17001
 3210 8349 18291
 2395 8751 19420
 3326 7574 17893
 6185 7632 18623
 3784 6770 17401
 3770 7992 16383
 5259 7212 14218
 4569 7826 13363
 4372 5973 14572
 6727 8157 12573
 4809 7639 13142
 3908 9316 12057
 4536 8479 11488
Repetition End
0
 8001 5971 12008
 2162 9512 11474
 4555 7595 10464
 4718 6774 11769
 6268 6376 13006
 4309 8781 12917
 3820 6801 14926
 3850 6588 15028
 5749 4984 13961
 901 4066 13532
 2962 6825 13285
 3960 8414 13322
 5631 6318 12321
 4500 7798 12624
 4220 6223 13623
 5960 8417 14302
 2251 6316 15267
 5250 2573 15618
 3835 4132 15432
 4047 2813 15021
 6751 3832 14494
 4766 5985 14716
 5140 4691 14154
